id,found_id,required_sum,current_sum,closedFoundrisingAmount,philantrops_amount,creation_date,closing_date
52,236,$244450.95,$25858.07,42,49,3/30/2021,9/30/2021
53,716,$128198.97,$516.80,49,61,4/23/2021,10/17/2021
54,134,$217836.60,$8209.20,11,20,7/13/2021,2/22/2022
55,241,$51442.89,$39630.31,24,61,1/6/2021,1/9/2022
56,393,$124262.58,$305.24,47,42,6/26/2021,2/8/2022
57,295,$266464.59,$5030.41,49,57,7/19/2021,8/30/2021
58,937,$195883.11,$38602.20,79,42,3/26/2021,1/13/2022
59,248,$62966.85,$41701.61,67,49,1/9/2021,5/6/2022
60,393,$301331.91,$8608.10,75,27,2/4/2021,3/11/2022
61,225,$424055.08,$48214.86,63,26,6/10/2021,8/18/2021
62,358,$358544.34,$46572.82,51,32,7/19/2021,2/28/2022
63,439,$58830.91,$19530.50,98,7,5/5/2021,4/22/2022
64,732,$276336.60,$37479.77,9,38,7/25/2021,6/29/2022
65,50,$462296.23,$20228.51,68,55,7/11/2021,10/26/2021
66,587,$454127.44,$5641.22,8,58,4/18/2021,1/3/2022
67,309,$118661.48,$43078.42,89,13,2/25/2021,1/15/2022
68,527,$373078.34,$39487.28,44,50,4/29/2021,3/8/2022
69,667,$417311.69,$14070.25,87,50,7/18/2021,5/21/2022
70,715,$63219.47,$22135.13,83,20,7/12/2021,4/29/2022
71,626,$488931.27,$34597.59,31,35,4/15/2021,11/13/2021
72,287,$355229.25,$48369.41,37,5,5/31/2021,10/15/2021
73,197,$197034.65,$24342.32,23,8,2/11/2021,9/24/2021
74,669,$439355.64,$47275.31,76,22,4/24/2021,3/18/2022
75,16,$469689.43,$31646.23,59,59,7/19/2021,12/13/2021
76,621,$354032.43,$9653.14,91,23,5/24/2021,11/5/2021
77,830,$392297.08,$30142.06,88,50,3/4/2021,1/12/2022
78,652,$77605.02,$14312.40,4,7,6/10/2021,5/20/2022
79,209,$403460.26,$29221.19,65,52,5/18/2021,4/16/2022
80,810,$319534.92,$10993.76,49,11,4/14/2021,11/27/2021
81,375,$99195.14,$46708.32,82,29,6/25/2021,4/26/2022
82,338,$178731.85,$18599.94,52,5,1/8/2021,3/22/2022
83,211,$147661.13,$16420.57,23,48,7/29/2021,3/20/2022
84,62,$303218.00,$2782.55,38,50,5/4/2021,11/9/2021
85,707,$461703.30,$38110.05,80,52,2/26/2021,12/7/2021
86,471,$467501.74,$18716.11,86,62,3/12/2021,12/5/2021
87,613,$498885.69,$10304.38,49,28,3/13/2021,4/5/2022
88,635,$420331.27,$31357.67,25,15,3/12/2021,4/29/2022
89,456,$313116.79,$36209.13,71,38,5/20/2021,3/4/2022
90,529,$245057.65,$41811.83,7,53,1/18/2021,6/28/2022
91,730,$108994.99,$8859.64,12,62,5/2/2021,1/20/2022
92,893,$115006.94,$10520.26,46,51,5/21/2021,6/15/2022
93,91,$199929.18,$40078.33,25,56,2/11/2021,3/18/2022
94,980,$111081.34,$24082.83,44,35,1/3/2021,5/6/2022
95,457,$270807.34,$5807.76,17,33,4/10/2021,9/7/2021
96,63,$263857.79,$22385.84,38,44,6/1/2021,3/25/2022
97,755,$128428.99,$9341.08,1,11,5/16/2021,2/14/2022
98,412,$51845.53,$6802.42,31,37,7/31/2021,2/12/2022
99,964,$75389.16,$44892.21,25,14,5/11/2021,9/29/2021
100,250,$315183.49,$23395.64,5,10,2/25/2021,6/7/2022
101,307,$85663.87,$720.22,67,10,6/20/2021,6/19/2022
102,202,$399635.65,$26180.54,61,24,7/25/2021,7/22/2022
103,826,$84998.34,$13933.53,13,16,7/13/2021,8/18/2021
104,745,$215368.49,$47088.91,20,53,2/14/2021,10/23/2021
105,514,$76001.17,$24882.04,70,6,6/19/2021,4/17/2022
106,692,$372665.87,$43832.92,23,12,1/7/2021,3/28/2022
107,381,$420850.10,$7336.40,20,52,4/26/2021,4/30/2022
108,282,$93924.43,$13015.16,36,58,5/1/2021,5/29/2022
109,724,$70114.13,$41104.88,9,48,5/29/2021,9/15/2021
110,965,$253300.93,$11924.13,13,61,3/19/2021,11/20/2021
111,458,$406012.36,$20941.50,72,60,3/23/2021,2/26/2022
112,203,$281388.09,$14634.58,82,62,7/2/2021,8/11/2021
113,256,$130114.97,$32263.14,4,39,6/24/2021,6/12/2022
114,454,$327148.66,$15104.80,78,12,4/23/2021,5/11/2022
115,706,$87795.61,$48495.60,79,43,4/2/2021,1/11/2022
116,395,$336175.21,$49489.57,10,10,7/9/2021,10/7/2021
117,632,$452423.26,$6983.31,72,7,2/7/2021,6/16/2022
118,516,$335167.99,$20466.61,96,11,1/9/2021,5/14/2022
119,159,$451631.25,$16168.25,77,31,1/20/2021,9/21/2021
120,953,$312718.00,$19431.28,59,20,3/19/2021,5/13/2022
121,83,$91964.76,$9546.45,8,45,1/3/2021,2/2/2022
122,295,$63280.05,$25825.27,4,41,3/7/2021,11/20/2021
123,701,$287733.72,$23074.46,14,12,4/18/2021,11/20/2021
124,814,$212735.33,$40823.91,16,36,6/10/2021,9/24/2021
125,107,$116436.10,$1652.43,65,32,6/10/2021,5/6/2022
126,99,$471017.25,$25260.87,78,29,6/25/2021,5/20/2022
127,764,$295646.70,$48991.50,39,53,3/13/2021,9/8/2021
128,45,$276317.69,$35370.42,84,45,5/12/2021,2/28/2022
129,143,$432420.01,$8549.55,95,51,3/1/2021,1/31/2022
130,708,$326062.50,$16623.00,37,29,1/2/2021,3/23/2022
131,84,$357098.87,$20796.35,25,42,7/1/2021,1/9/2022
132,497,$394772.77,$20476.10,33,17,2/15/2021,12/12/2021
133,880,$376459.63,$3040.24,65,35,4/18/2021,8/31/2021
134,959,$290441.84,$39372.06,47,55,6/13/2021,2/12/2022
135,354,$409574.11,$27340.33,1,35,4/17/2021,8/28/2021
136,287,$488526.99,$35006.81,97,7,1/15/2021,5/12/2022
137,630,$324838.34,$12384.84,28,56,7/27/2021,1/10/2022
138,98,$413723.01,$2400.81,58,42,7/26/2021,7/27/2022
139,326,$481510.00,$44377.29,87,29,4/14/2021,11/23/2021
140,258,$57542.87,$23422.12,46,17,3/5/2021,10/29/2021
141,682,$422503.90,$64.05,6,37,4/22/2021,6/28/2022
142,43,$218032.55,$1062.72,41,22,7/26/2021,4/25/2022
143,319,$64298.26,$23686.94,25,53,6/29/2021,11/9/2021
144,671,$85804.15,$9131.55,10,12,7/24/2021,4/26/2022
145,881,$465452.46,$21033.16,68,13,5/15/2021,12/17/2021
146,436,$203703.37,$15079.41,91,54,7/11/2021,1/22/2022
147,719,$406799.20,$38623.84,26,54,7/5/2021,5/25/2022
148,458,$477009.29,$34218.26,15,50,2/10/2021,9/12/2021
149,613,$111180.82,$32251.25,85,51,2/15/2021,2/14/2022
150,678,$167406.66,$5013.81,32,34,6/9/2021,8/2/2022
151,369,$88545.20,$34568.64,19,12,4/27/2021,3/11/2022
152,759,$178698.99,$38130.53,72,34,4/19/2021,5/25/2022
153,298,$198550.61,$48166.38,9,14,7/14/2021,7/3/2022
154,553,$212428.73,$30424.64,59,20,1/28/2021,1/11/2022
155,857,$453381.26,$12728.24,39,21,6/9/2021,5/4/2022
156,477,$472731.23,$41348.77,78,13,5/8/2021,6/7/2022
157,312,$386825.87,$3538.47,13,59,2/8/2021,10/12/2021
158,177,$146200.36,$37509.42,43,32,8/3/2021,9/12/2021
159,517,$256115.21,$34946.41,72,39,4/18/2021,11/28/2021
160,261,$181547.19,$17891.04,6,58,3/18/2021,7/4/2022
161,734,$56193.66,$20257.63,16,10,1/24/2021,5/8/2022
162,133,$433525.85,$42201.12,48,55,5/11/2021,10/10/2021
163,918,$99868.17,$18636.58,61,5,2/3/2021,4/19/2022
164,403,$444995.85,$31527.80,52,47,6/9/2021,4/1/2022
165,900,$249468.77,$27530.18,60,60,6/21/2021,4/29/2022
166,546,$359220.60,$39701.49,63,34,2/17/2021,8/9/2021
167,478,$457650.84,$43640.72,8,16,6/25/2021,11/12/2021
168,259,$103583.56,$554.29,24,57,6/21/2021,7/29/2022
169,912,$254624.14,$937.35,25,26,1/10/2021,5/7/2022
170,604,$318759.85,$7813.48,52,10,5/27/2021,7/3/2022
171,20,$305034.91,$18502.09,59,51,4/25/2021,8/28/2021
172,220,$119135.97,$47949.24,80,36,3/23/2021,8/23/2021
173,239,$470706.13,$32228.40,69,30,7/26/2021,2/19/2022
174,119,$114208.10,$16291.32,56,32,4/30/2021,11/17/2021
175,16,$291640.34,$997.93,33,39,6/11/2021,4/7/2022
176,406,$475093.22,$44438.78,66,43,3/20/2021,5/11/2022
177,41,$479893.19,$25370.23,38,31,8/5/2021,1/15/2022
178,882,$295454.24,$22889.59,22,45,6/4/2021,10/1/2021
179,70,$334547.23,$24342.30,4,37,3/9/2021,11/29/2021
180,469,$311007.82,$1267.62,34,51,3/13/2021,9/23/2021
181,908,$310004.80,$27000.82,41,56,7/27/2021,3/7/2022
182,858,$456007.98,$7656.44,37,44,6/28/2021,6/14/2022
183,246,$463939.32,$26933.62,69,40,4/3/2021,6/6/2022
184,815,$395476.15,$46908.30,24,43,4/10/2021,1/13/2022
185,990,$59132.90,$24331.40,30,32,7/9/2021,8/3/2022
186,573,$314833.10,$2951.29,61,56,7/20/2021,4/29/2022
187,810,$109934.63,$17675.82,31,58,3/13/2021,7/20/2022
188,36,$80561.87,$14205.46,43,62,3/16/2021,7/8/2022
189,64,$456997.27,$5165.51,63,52,3/28/2021,5/14/2022
190,346,$386704.31,$1273.17,53,24,7/18/2021,10/5/2021
191,286,$404467.88,$36716.58,47,36,6/25/2021,8/2/2022
192,826,$450490.38,$28520.41,71,32,2/2/2021,8/20/2021
193,640,$68697.44,$17688.97,45,30,2/15/2021,7/15/2022
194,132,$307177.21,$10162.79,96,56,1/2/2021,6/1/2022
195,94,$460348.47,$33213.80,75,49,5/18/2021,8/7/2021
196,373,$487401.43,$9559.69,97,31,6/27/2021,11/13/2021
197,602,$204014.22,$28449.32,50,26,5/6/2021,12/9/2021
198,929,$375188.53,$11621.57,80,13,8/3/2021,10/12/2021
199,417,$127877.18,$8871.69,27,37,4/6/2021,7/22/2022
200,580,$448725.38,$9234.89,81,51,1/16/2021,12/26/2021
201,924,$308513.30,$29967.39,24,56,4/23/2021,7/29/2022
202,64,$409980.00,$12494.19,59,46,3/12/2021,9/21/2021
203,210,$497983.26,$18417.06,51,6,6/18/2021,2/22/2022
204,97,$149604.30,$33683.30,60,19,5/29/2021,1/7/2022
205,966,$107338.86,$14079.19,92,35,7/4/2021,1/27/2022
206,433,$357986.02,$46257.55,0,29,7/23/2021,6/19/2022
207,816,$307996.57,$45027.20,44,55,5/2/2021,10/4/2021
208,9,$362981.44,$29726.08,18,47,5/14/2021,1/21/2022
209,977,$245501.90,$32251.52,26,36,1/28/2021,8/1/2022
210,430,$194158.92,$42620.77,24,34,1/24/2021,8/11/2021
211,63,$496175.90,$45401.58,42,53,1/30/2021,12/24/2021
212,517,$149350.02,$29522.66,20,30,3/15/2021,4/27/2022
213,939,$370336.62,$10275.37,83,7,4/10/2021,12/12/2021
214,198,$243740.10,$30676.07,52,45,1/26/2021,5/2/2022
215,691,$317086.46,$6404.10,48,49,7/20/2021,6/20/2022
216,998,$279240.60,$3750.19,57,52,3/23/2021,1/15/2022
217,954,$92843.63,$44061.74,86,47,5/14/2021,12/28/2021
218,255,$417427.34,$42750.23,81,7,1/27/2021,11/9/2021
219,357,$324957.01,$47390.68,64,31,6/19/2021,1/23/2022
220,449,$213449.71,$44989.61,8,43,5/17/2021,6/30/2022
221,177,$125468.06,$265.85,10,17,4/27/2021,5/16/2022
222,781,$417824.68,$29633.50,75,62,7/2/2021,9/26/2021
223,122,$253152.32,$37695.71,94,9,7/23/2021,12/15/2021
224,297,$97828.17,$49080.05,40,30,6/2/2021,1/21/2022
225,375,$54433.14,$28234.19,13,12,3/27/2021,1/22/2022
226,925,$497551.08,$34125.08,11,31,1/15/2021,3/8/2022
227,4,$399652.35,$48636.54,75,29,6/22/2021,4/29/2022
228,726,$283721.45,$7990.16,47,11,1/26/2021,9/15/2021
229,610,$405645.28,$15873.80,79,62,1/4/2021,1/15/2022
230,293,$264528.01,$636.03,45,45,1/18/2021,3/2/2022
231,46,$458212.62,$26434.86,75,24,3/9/2021,10/7/2021
232,957,$185434.47,$28768.18,17,40,2/6/2021,6/3/2022
233,345,$96663.88,$6108.59,93,30,1/4/2021,9/14/2021
234,12,$451682.01,$23668.13,13,57,7/16/2021,1/31/2022
235,973,$289275.91,$29754.05,59,52,2/24/2021,8/16/2021
236,253,$499918.05,$30228.99,16,28,2/8/2021,10/13/2021
237,787,$58583.31,$35112.07,20,59,1/23/2021,1/25/2022
238,110,$463883.26,$21183.79,93,6,4/15/2021,4/29/2022
239,268,$132107.97,$31008.32,51,48,5/18/2021,3/24/2022
240,990,$116761.22,$14305.00,19,14,3/29/2021,1/21/2022
241,237,$375776.21,$7296.36,27,7,1/1/2021,7/8/2022
242,19,$481423.13,$2871.51,13,8,2/24/2021,10/22/2021
243,172,$195953.39,$36899.73,61,30,7/14/2021,9/15/2021
244,417,$427531.72,$31141.47,54,19,2/28/2021,1/24/2022
245,27,$267729.95,$44646.69,59,34,6/23/2021,4/5/2022
246,293,$281205.28,$32370.43,88,48,7/19/2021,10/19/2021
247,646,$471131.97,$22146.83,57,35,3/7/2021,3/21/2022
248,376,$118790.80,$2630.03,29,30,5/28/2021,3/3/2022
249,304,$228584.33,$40119.81,77,30,1/22/2021,10/8/2021
250,538,$455676.81,$43760.97,95,11,1/26/2021,1/3/2022
251,698,$458143.44,$6870.13,80,31,6/26/2021,5/24/2022
252,263,$455743.08,$40975.48,100,29,7/3/2021,5/24/2022
253,748,$305656.27,$37012.12,91,52,3/10/2021,7/23/2022
254,343,$372273.13,$34263.30,14,30,7/30/2021,7/29/2022
255,684,$439527.29,$23105.29,44,54,4/8/2021,1/16/2022
256,336,$207495.45,$21226.59,46,9,1/30/2021,10/28/2021
257,875,$91445.84,$20220.53,7,31,1/31/2021,10/12/2021
258,94,$125350.49,$44536.47,10,23,5/26/2021,12/9/2021
259,433,$471165.36,$13113.87,21,20,2/26/2021,8/22/2021
260,247,$81471.26,$1996.20,60,57,4/11/2021,3/18/2022
261,648,$227296.65,$27386.87,21,52,1/14/2021,6/19/2022
262,130,$433486.12,$45656.93,95,42,6/25/2021,3/28/2022
263,826,$231731.53,$19221.25,30,57,6/7/2021,10/2/2021
264,353,$134363.74,$36888.16,10,8,4/14/2021,11/29/2021
265,104,$102638.36,$39596.69,16,41,3/8/2021,3/24/2022
266,332,$352414.37,$3440.78,2,36,6/7/2021,2/5/2022
267,227,$105153.68,$41257.16,44,57,3/12/2021,5/24/2022
268,173,$331840.59,$26569.36,76,32,7/11/2021,9/25/2021
269,713,$329207.39,$42936.99,74,20,5/24/2021,10/29/2021
270,8,$128198.52,$49628.03,85,24,5/4/2021,4/14/2022
271,281,$173196.04,$40777.75,39,24,2/5/2021,12/23/2021
272,291,$482088.12,$49578.96,77,59,5/27/2021,4/3/2022
273,424,$392833.54,$10028.92,24,19,3/15/2021,6/20/2022
274,149,$312969.54,$12862.59,94,58,6/30/2021,3/4/2022
275,293,$428808.41,$36722.56,51,58,6/15/2021,10/28/2021
276,273,$192851.68,$37733.11,48,39,4/25/2021,4/10/2022
277,146,$242623.18,$43089.65,10,22,7/5/2021,1/14/2022
278,885,$404816.69,$45500.82,72,50,5/14/2021,4/11/2022
279,393,$440634.10,$41898.61,49,9,6/16/2021,9/12/2021
280,205,$85841.09,$11812.05,39,25,1/31/2021,7/1/2022
281,464,$142443.68,$23924.42,98,11,3/16/2021,12/16/2021
282,272,$317978.93,$6582.17,18,59,3/5/2021,1/31/2022
283,806,$272136.60,$24448.36,48,22,5/30/2021,5/21/2022
284,344,$416058.16,$49881.50,32,49,5/21/2021,5/1/2022
285,551,$206642.96,$28300.47,14,21,2/23/2021,3/26/2022
286,474,$145149.01,$40615.47,83,57,4/22/2021,9/29/2021
287,95,$168101.62,$41033.39,92,33,3/13/2021,12/13/2021
288,898,$322294.45,$26267.84,35,52,2/28/2021,6/16/2022
289,807,$462437.87,$20191.00,55,37,6/1/2021,4/24/2022
290,423,$358728.09,$12635.66,77,41,3/17/2021,11/13/2021
291,344,$386893.07,$31735.41,77,26,5/13/2021,8/13/2021
292,952,$368352.26,$23651.06,7,57,4/21/2021,2/13/2022
293,91,$445938.48,$36471.05,15,9,3/20/2021,2/21/2022
294,79,$442899.77,$8688.99,40,60,6/25/2021,3/7/2022
295,569,$57589.30,$421.17,65,32,5/21/2021,3/9/2022
296,628,$173112.44,$3872.85,52,33,2/18/2021,9/30/2021
297,788,$427776.54,$14349.92,59,31,6/10/2021,8/13/2021
298,410,$148010.72,$19654.92,75,31,1/29/2021,8/21/2021
299,121,$255717.23,$18199.16,35,31,5/31/2021,2/17/2022
300,936,$452220.18,$38675.57,53,26,5/7/2021,6/28/2022
301,389,$475851.94,$33662.11,43,45,5/25/2021,4/3/2022
302,129,$201248.31,$30006.29,24,52,5/2/2021,4/14/2022
303,296,$266326.15,$43901.37,3,48,3/16/2021,9/22/2021
304,599,$149336.01,$38314.35,100,19,5/18/2021,2/15/2022
305,187,$333964.63,$23546.67,27,15,2/15/2021,12/17/2021
306,757,$101878.11,$35842.05,92,15,1/15/2021,3/6/2022
307,199,$228908.02,$44302.98,18,14,8/2/2021,3/31/2022
308,311,$66158.42,$29591.03,67,19,1/1/2021,2/6/2022
309,516,$236991.91,$30036.31,16,25,4/18/2021,12/3/2021
310,891,$370281.19,$34277.53,62,48,4/25/2021,5/10/2022
311,332,$342835.82,$11283.42,42,54,3/11/2021,8/22/2021
312,262,$115553.12,$30070.07,94,6,4/23/2021,12/20/2021
313,272,$388801.80,$32467.59,87,49,1/30/2021,12/5/2021
314,395,$189574.13,$33211.32,70,61,5/18/2021,9/24/2021
315,141,$338893.78,$27966.15,45,54,6/15/2021,3/15/2022
316,49,$293310.60,$46517.26,39,24,6/23/2021,7/12/2022
317,279,$407548.10,$39683.34,9,36,7/4/2021,8/18/2021
318,360,$342806.72,$22088.60,16,60,6/16/2021,2/6/2022
319,458,$321551.98,$1617.60,38,15,6/10/2021,12/13/2021
320,433,$290194.60,$23612.51,26,36,1/18/2021,9/18/2021
321,778,$256633.53,$29508.22,72,26,7/29/2021,4/18/2022
322,711,$365005.68,$30985.06,84,7,3/15/2021,8/27/2021
323,435,$317629.11,$45274.84,78,41,6/28/2021,2/16/2022
324,985,$444008.41,$11285.85,50,22,8/4/2021,9/22/2021
325,819,$398614.57,$10757.47,93,40,1/22/2021,9/5/2021
326,549,$221866.19,$20872.27,64,18,2/8/2021,7/12/2022
327,454,$122468.37,$42896.17,71,9,7/18/2021,2/26/2022
328,625,$355437.67,$17147.45,64,32,2/5/2021,12/21/2021
329,190,$263974.70,$20376.09,54,24,3/19/2021,1/29/2022
330,292,$286534.99,$14838.30,64,26,5/29/2021,4/28/2022
331,879,$334349.66,$482.09,100,21,7/22/2021,8/5/2022
332,547,$365163.87,$41970.78,22,57,4/18/2021,11/29/2021
333,793,$267899.49,$41244.04,86,56,7/19/2021,2/26/2022
334,807,$164859.26,$1154.99,19,19,4/8/2021,11/29/2021
335,555,$364463.48,$43520.77,3,41,3/11/2021,4/24/2022
336,233,$272104.35,$2744.35,79,47,6/11/2021,11/25/2021
337,847,$189034.74,$39312.03,42,30,4/8/2021,2/15/2022
338,794,$224119.54,$16502.81,26,57,4/4/2021,1/28/2022
339,868,$412425.02,$474.64,76,43,6/16/2021,8/9/2021
340,329,$473792.26,$31208.76,92,36,6/28/2021,10/20/2021
341,296,$228632.16,$30400.90,20,26,6/9/2021,11/16/2021
342,841,$153002.37,$14907.61,76,57,8/3/2021,1/19/2022
343,908,$170282.75,$1420.95,56,56,2/3/2021,1/19/2022
344,275,$418724.53,$20015.66,4,62,2/6/2021,12/9/2021
345,46,$225313.26,$40332.57,34,56,3/18/2021,5/20/2022
346,483,$494868.20,$35657.27,48,50,1/4/2021,12/23/2021
347,407,$194354.91,$40449.91,10,45,5/29/2021,12/26/2021
348,825,$119763.64,$45220.45,82,27,5/21/2021,11/24/2021
349,858,$131274.47,$26239.87,81,23,1/27/2021,1/14/2022
350,601,$281803.27,$13968.92,50,18,5/18/2021,10/19/2021
351,359,$334183.43,$8520.53,84,62,7/8/2021,5/7/2022
352,883,$298470.32,$19722.62,55,60,1/8/2021,2/3/2022
353,852,$475088.23,$44040.55,65,30,4/26/2021,3/29/2022
354,736,$497246.64,$35074.53,42,6,1/30/2021,2/6/2022
355,623,$332455.36,$46033.41,79,5,7/25/2021,6/2/2022
356,19,$139211.39,$26155.57,83,10,6/12/2021,4/17/2022
357,923,$58734.44,$46050.89,76,18,7/21/2021,11/20/2021
358,754,$193576.09,$37361.99,84,45,6/9/2021,8/15/2021
359,337,$60489.40,$38499.10,12,62,7/10/2021,7/31/2022
360,590,$97148.78,$19449.95,82,59,4/22/2021,1/31/2022
361,959,$278309.38,$15543.85,100,38,5/7/2021,4/15/2022
362,578,$140440.55,$41284.51,6,8,1/27/2021,12/13/2021
363,797,$114212.03,$4106.01,90,25,7/14/2021,9/1/2021
364,55,$271405.10,$41387.20,29,42,1/26/2021,11/10/2021
365,887,$118466.11,$41586.38,51,14,4/23/2021,3/11/2022
366,159,$362241.74,$1288.25,97,25,2/20/2021,6/26/2022
367,44,$301034.24,$47869.50,65,36,2/10/2021,1/27/2022
368,227,$158495.88,$10333.26,96,48,1/20/2021,3/17/2022
369,164,$378626.20,$35516.92,16,22,4/2/2021,2/1/2022
370,404,$228211.15,$44978.51,37,8,6/12/2021,11/17/2021
371,798,$60271.98,$25216.21,43,48,6/2/2021,10/26/2021
372,317,$280169.24,$2867.62,95,32,3/7/2021,1/6/2022
373,6,$447444.82,$37269.35,71,25,1/31/2021,8/13/2021
374,279,$107184.03,$44995.63,23,11,5/8/2021,2/24/2022
375,586,$218759.80,$17116.71,58,6,5/1/2021,6/25/2022
376,915,$86955.11,$20293.14,43,32,7/6/2021,12/14/2021
377,741,$370778.32,$16395.86,50,32,5/20/2021,3/31/2022
378,563,$255139.44,$37451.59,91,48,7/11/2021,7/15/2022
379,406,$132538.19,$40869.94,30,48,2/24/2021,5/12/2022
380,441,$173351.09,$40416.84,91,37,8/5/2021,7/10/2022
381,279,$367791.23,$41590.03,88,30,6/11/2021,9/23/2021
382,366,$148950.55,$48261.56,73,47,7/4/2021,10/22/2021
383,644,$477272.50,$28543.52,99,27,5/3/2021,4/4/2022
384,708,$132923.96,$18388.79,82,30,1/25/2021,11/9/2021
385,757,$425743.88,$10735.95,17,52,3/6/2021,3/13/2022
386,597,$424004.93,$30112.83,64,45,4/20/2021,4/15/2022
387,605,$359597.00,$16798.78,42,41,1/2/2021,12/26/2021
388,693,$259324.46,$17798.49,52,58,4/14/2021,1/21/2022
389,374,$365740.61,$8415.09,77,7,5/4/2021,4/17/2022
390,638,$234961.23,$29902.44,44,28,2/24/2021,9/2/2021
391,208,$338587.70,$24670.33,33,17,6/6/2021,9/6/2021
392,680,$264862.67,$16916.80,38,36,1/12/2021,11/28/2021
393,266,$237091.65,$26246.66,59,21,6/8/2021,4/15/2022
394,720,$69132.13,$5537.14,21,43,7/25/2021,8/14/2021
395,141,$304342.80,$12603.47,29,6,3/15/2021,3/4/2022
396,123,$171127.70,$24476.42,10,35,4/23/2021,8/18/2021
397,123,$284947.90,$17472.80,58,44,4/19/2021,5/11/2022
398,735,$202718.32,$3754.83,18,58,2/17/2021,10/18/2021
399,331,$82451.16,$41622.87,4,58,1/11/2021,1/19/2022
400,837,$167638.94,$9809.46,15,40,4/2/2021,6/14/2022
401,823,$407825.40,$14763.77,64,28,4/30/2021,4/21/2022
402,220,$281009.58,$17385.87,57,21,2/4/2021,1/29/2022
403,646,$237694.87,$3956.34,3,25,4/14/2021,2/2/2022
404,105,$165364.12,$16322.76,48,10,7/27/2021,9/8/2021
405,511,$335940.56,$33345.37,52,28,5/29/2021,1/14/2022
406,634,$116962.69,$43058.83,49,27,1/29/2021,5/4/2022
407,172,$61503.48,$49267.53,5,11,6/24/2021,6/26/2022
408,261,$123762.14,$1166.77,74,53,2/10/2021,4/1/2022
409,940,$374863.43,$36540.30,77,62,4/21/2021,12/7/2021
