id,from_essence_type,from_id,to_essence_type,sum_of_money,comment,to_id
240,f,240,f,"$1,002.57",its donate from user with id = 240,735
241,f,241,f,"$6,444.58",its donate from user with id = 241,403
242,f,242,f,"$2,919.55",its donate from user with id = 242,348
243,f,243,f,"$2,898.57",its donate from user with id = 243,274
244,f,244,f,"$4,247.54",its donate from user with id = 244,829
245,f,245,f,$859.30,its donate from user with id = 245,182
246,f,246,f,"$5,811.98",its donate from user with id = 246,769
247,f,247,f,"$1,560.87",its donate from user with id = 247,843
248,f,248,f,"$9,705.74",its donate from user with id = 248,288
249,f,249,f,"$4,393.44",its donate from user with id = 249,326
250,f,250,f,"$4,071.30",its donate from user with id = 250,196
251,f,251,f,"$6,887.92",its donate from user with id = 251,445
252,f,252,f,"$4,143.81",its donate from user with id = 252,226
253,f,253,f,"$6,391.14",its donate from user with id = 253,792
254,f,254,f,"$5,707.89",its donate from user with id = 254,732
255,f,255,f,"$8,796.72",its donate from user with id = 255,130
256,f,256,f,"$1,058.45",its donate from user with id = 256,283
257,f,257,f,"$1,497.05",its donate from user with id = 257,75
258,f,258,f,"$9,608.14",its donate from user with id = 258,724
259,f,259,f,"$3,915.30",its donate from user with id = 259,238
260,f,260,f,"$3,365.45",its donate from user with id = 260,66
261,f,261,f,"$9,818.85",its donate from user with id = 261,39
262,f,262,f,"$2,030.32",its donate from user with id = 262,907
263,f,263,f,"$4,294.90",its donate from user with id = 263,280
264,f,264,f,"$1,901.09",its donate from user with id = 264,460
265,f,265,f,"$6,896.52",its donate from user with id = 265,470
266,f,266,f,"$2,461.01",its donate from user with id = 266,452
267,f,267,f,"$1,917.93",its donate from user with id = 267,489
268,f,268,f,"$1,847.70",its donate from user with id = 268,381
269,f,269,f,"$8,731.03",its donate from user with id = 269,255
270,f,270,f,"$9,963.06",its donate from user with id = 270,693
271,f,271,f,"$8,100.07",its donate from user with id = 271,811
272,f,272,f,"$1,372.72",its donate from user with id = 272,563
273,f,273,f,"$6,252.15",its donate from user with id = 273,923
274,f,274,f,"$1,822.64",its donate from user with id = 274,930
275,f,275,f,"$1,393.63",its donate from user with id = 275,738
276,f,276,f,"$2,739.05",its donate from user with id = 276,767
277,f,277,f,"$6,725.88",its donate from user with id = 277,860
278,f,278,f,"$5,096.53",its donate from user with id = 278,221
279,f,279,f,"$9,692.27",its donate from user with id = 279,888
280,f,280,f,"$6,781.11",its donate from user with id = 280,205
281,f,281,f,"$1,832.82",its donate from user with id = 281,785
282,f,282,f,"$6,364.14",its donate from user with id = 282,425
283,f,283,f,"$9,656.48",its donate from user with id = 283,97
284,f,284,f,$248.06,its donate from user with id = 284,236
285,f,285,f,"$6,194.47",its donate from user with id = 285,721
286,f,286,f,"$3,582.81",its donate from user with id = 286,443
287,f,287,f,"$1,376.65",its donate from user with id = 287,582
288,f,288,f,"$6,041.28",its donate from user with id = 288,499
289,f,289,f,"$4,441.34",its donate from user with id = 289,151
290,f,290,f,"$7,032.67",its donate from user with id = 290,261
291,f,291,f,"$4,511.78",its donate from user with id = 291,692
292,f,292,f,"$8,852.82",its donate from user with id = 292,362
293,f,293,f,"$9,492.30",its donate from user with id = 293,779
294,f,294,f,"$7,274.46",its donate from user with id = 294,33
295,f,295,f,$704.28,its donate from user with id = 295,469
296,f,296,f,"$2,637.38",its donate from user with id = 296,273
297,f,297,f,"$5,357.92",its donate from user with id = 297,817
298,f,298,f,"$5,649.32",its donate from user with id = 298,701
299,f,299,f,"$4,728.57",its donate from user with id = 299,629
300,f,300,f,"$3,685.28",its donate from user with id = 300,270
301,f,301,f,"$4,961.98",its donate from user with id = 301,331
302,f,302,f,"$7,943.82",its donate from user with id = 302,224
303,f,303,f,"$6,224.30",its donate from user with id = 303,955
304,f,304,f,"$3,123.80",its donate from user with id = 304,86
305,f,305,f,"$7,493.55",its donate from user with id = 305,40
306,f,306,f,"$2,289.14",its donate from user with id = 306,89
307,f,307,f,"$9,988.90",its donate from user with id = 307,967
308,f,308,f,"$3,610.20",its donate from user with id = 308,15
309,f,309,f,"$5,056.92",its donate from user with id = 309,815
310,f,310,f,"$3,956.56",its donate from user with id = 310,515
311,f,311,f,"$5,111.38",its donate from user with id = 311,369
312,f,312,f,"$8,569.84",its donate from user with id = 312,229
313,f,313,f,"$1,747.70",its donate from user with id = 313,690
314,f,314,f,$850.77,its donate from user with id = 314,309
315,f,315,f,"$9,673.32",its donate from user with id = 315,573
316,f,316,f,"$7,013.51",its donate from user with id = 316,480
317,f,317,f,"$7,257.59",its donate from user with id = 317,329
318,f,318,f,"$6,607.88",its donate from user with id = 318,804
319,f,319,f,"$2,273.15",its donate from user with id = 319,922
320,f,320,f,"$1,702.93",its donate from user with id = 320,366
321,f,321,f,"$9,833.02",its donate from user with id = 321,444
322,f,322,f,"$5,197.64",its donate from user with id = 322,962
323,f,323,f,"$9,829.87",its donate from user with id = 323,192
324,f,324,f,"$3,259.74",its donate from user with id = 324,410
325,f,325,f,"$2,311.23",its donate from user with id = 325,179
326,f,326,f,"$7,496.44",its donate from user with id = 326,142
327,f,327,f,"$6,196.89",its donate from user with id = 327,878
328,f,328,f,"$1,027.60",its donate from user with id = 328,931
329,f,329,f,"$3,456.56",its donate from user with id = 329,140
330,f,330,f,"$5,971.63",its donate from user with id = 330,485
331,f,331,f,"$1,047.68",its donate from user with id = 331,163
332,f,332,f,"$8,260.22",its donate from user with id = 332,8
333,f,333,f,"$3,883.76",its donate from user with id = 333,830
334,f,334,f,"$5,070.79",its donate from user with id = 334,864
335,f,335,f,"$6,551.06",its donate from user with id = 335,316
336,f,336,f,"$2,280.36",its donate from user with id = 336,42
337,f,337,f,"$6,552.67",its donate from user with id = 337,310
338,f,338,f,"$8,055.32",its donate from user with id = 338,890
339,f,339,f,"$1,710.94",its donate from user with id = 339,386
340,f,340,f,"$7,197.03",its donate from user with id = 340,917
341,f,341,f,"$1,660.80",its donate from user with id = 341,924
342,f,342,f,$764.12,its donate from user with id = 342,733
343,f,343,f,$17.21,its donate from user with id = 343,935
344,f,344,f,"$9,577.37",its donate from user with id = 344,260
345,f,345,f,"$1,671.69",its donate from user with id = 345,856
346,f,346,f,"$9,546.74",its donate from user with id = 346,586
347,f,347,f,$716.67,its donate from user with id = 347,398
348,f,348,f,"$4,891.45",its donate from user with id = 348,290
349,f,349,f,"$1,379.30",its donate from user with id = 349,580
350,f,350,f,"$2,842.91",its donate from user with id = 350,877
351,f,351,f,"$7,495.60",its donate from user with id = 351,81
352,f,352,f,"$6,733.02",its donate from user with id = 352,141
353,f,353,f,"$7,272.32",its donate from user with id = 353,241
354,f,354,f,"$6,932.44",its donate from user with id = 354,327
355,f,355,f,"$3,500.84",its donate from user with id = 355,298
356,f,356,f,"$9,184.04",its donate from user with id = 356,23
357,f,357,f,"$3,703.48",its donate from user with id = 357,802
358,f,358,f,"$8,156.73",its donate from user with id = 358,574
359,f,359,f,"$9,334.84",its donate from user with id = 359,739
360,f,360,f,"$8,554.38",its donate from user with id = 360,684
361,f,361,f,"$6,515.20",its donate from user with id = 361,132
362,f,362,f,"$6,707.56",its donate from user with id = 362,354
363,f,363,f,"$4,245.15",its donate from user with id = 363,814
364,f,364,f,$189.71,its donate from user with id = 364,263
365,f,365,f,"$2,866.14",its donate from user with id = 365,172
366,f,366,f,"$8,074.94",its donate from user with id = 366,566
367,f,367,f,$764.11,its donate from user with id = 367,865
368,f,368,f,"$1,389.83",its donate from user with id = 368,602
369,f,369,f,$667.11,its donate from user with id = 369,378
370,f,370,f,"$3,237.23",its donate from user with id = 370,807
371,f,371,f,"$4,748.26",its donate from user with id = 371,168
372,f,372,f,"$4,191.81",its donate from user with id = 372,998
373,f,373,f,"$3,552.67",its donate from user with id = 373,183
374,f,374,f,"$6,781.98",its donate from user with id = 374,631
375,f,375,f,"$9,009.42",its donate from user with id = 375,332
376,f,376,f,"$8,839.13",its donate from user with id = 376,635
377,f,377,f,"$2,065.74",its donate from user with id = 377,160
378,f,378,f,"$3,746.88",its donate from user with id = 378,906
379,f,379,f,"$1,459.03",its donate from user with id = 379,349
380,f,380,f,"$2,008.76",its donate from user with id = 380,662
381,f,381,f,"$8,033.02",its donate from user with id = 381,302
382,f,382,f,"$7,095.39",its donate from user with id = 382,387
383,f,383,f,"$9,303.46",its donate from user with id = 383,352
384,f,384,f,"$8,578.37",its donate from user with id = 384,21
385,f,385,f,"$2,082.00",its donate from user with id = 385,702
386,f,386,f,$256.65,its donate from user with id = 386,268
387,f,387,f,"$5,502.33",its donate from user with id = 387,13
388,f,388,f,"$8,599.10",its donate from user with id = 388,986
389,f,389,f,"$9,158.63",its donate from user with id = 389,127
390,f,390,f,"$7,675.42",its donate from user with id = 390,993
391,f,391,f,"$7,826.53",its donate from user with id = 391,773
392,f,392,f,"$2,320.32",its donate from user with id = 392,84
393,f,393,f,"$5,349.50",its donate from user with id = 393,845
394,f,394,f,"$8,086.01",its donate from user with id = 394,239
395,f,395,f,"$1,909.15",its donate from user with id = 395,704
396,f,396,f,"$2,057.26",its donate from user with id = 396,463
397,f,397,f,"$1,872.31",its donate from user with id = 397,500
398,f,398,f,"$9,683.15",its donate from user with id = 398,388
399,f,399,f,$789.96,its donate from user with id = 399,621
400,f,400,f,"$7,607.95",its donate from user with id = 400,832
401,f,401,f,"$9,883.42",its donate from user with id = 401,753
402,f,402,f,"$5,871.00",its donate from user with id = 402,972
403,f,403,f,$763.68,its donate from user with id = 403,649
404,f,404,f,"$8,059.47",its donate from user with id = 404,950
405,f,405,f,"$3,724.57",its donate from user with id = 405,788
406,f,406,f,"$4,768.99",its donate from user with id = 406,537
407,f,407,f,"$9,990.85",its donate from user with id = 407,103
408,f,408,f,"$1,611.56",its donate from user with id = 408,339
409,f,409,f,"$3,071.09",its donate from user with id = 409,337
410,f,410,f,"$7,751.01",its donate from user with id = 410,123
411,f,411,f,"$9,159.79",its donate from user with id = 411,173
412,f,412,f,"$9,772.09",its donate from user with id = 412,697
413,f,413,f,"$3,675.70",its donate from user with id = 413,598
414,f,414,f,"$6,526.46",its donate from user with id = 414,583
415,f,415,f,"$1,204.37",its donate from user with id = 415,435
416,f,416,f,"$3,355.59",its donate from user with id = 416,10
417,f,417,f,$330.04,its donate from user with id = 417,373
418,f,418,f,"$6,608.10",its donate from user with id = 418,353
419,f,419,f,"$5,455.62",its donate from user with id = 419,904
420,f,420,f,$51.88,its donate from user with id = 420,52
421,f,421,f,"$5,662.05",its donate from user with id = 421,225
422,f,422,f,"$7,530.36",its donate from user with id = 422,427
423,f,423,f,"$4,155.55",its donate from user with id = 423,363
424,f,424,f,"$8,320.14",its donate from user with id = 424,201
425,f,425,f,"$6,083.78",its donate from user with id = 425,755
426,f,426,f,"$7,292.75",its donate from user with id = 426,611
427,f,427,f,"$5,970.28",its donate from user with id = 427,292
428,f,428,f,$244.74,its donate from user with id = 428,375
429,f,429,f,"$8,418.12",its donate from user with id = 429,696
430,f,430,f,"$5,157.67",its donate from user with id = 430,55
431,f,431,f,"$3,852.59",its donate from user with id = 431,14
432,f,432,f,"$9,664.29",its donate from user with id = 432,809
433,f,433,f,"$1,216.38",its donate from user with id = 433,422
434,f,434,f,"$9,705.98",its donate from user with id = 434,521
435,f,435,f,"$5,906.55",its donate from user with id = 435,213
436,f,436,f,$113.49,its donate from user with id = 436,19
437,f,437,f,"$5,855.15",its donate from user with id = 437,28
438,f,438,f,$471.86,its donate from user with id = 438,476
439,f,439,f,"$8,249.54",its donate from user with id = 439,413
440,f,440,f,"$1,006.84",its donate from user with id = 440,250
441,f,441,f,"$3,761.81",its donate from user with id = 441,384
442,f,442,f,$664.06,its donate from user with id = 442,562
443,f,443,f,"$2,579.80",its donate from user with id = 443,334
444,f,444,f,"$5,812.92",its donate from user with id = 444,541
445,f,445,f,"$3,892.40",its donate from user with id = 445,763
446,f,446,f,"$4,385.12",its donate from user with id = 446,545
447,f,447,f,$443.45,its donate from user with id = 447,550
448,f,448,f,"$7,545.76",its donate from user with id = 448,74
449,f,449,f,"$4,668.21",its donate from user with id = 449,828
450,f,450,f,"$2,862.57",its donate from user with id = 450,818
451,f,451,f,"$8,566.83",its donate from user with id = 451,324
452,f,452,f,"$4,955.27",its donate from user with id = 452,743
453,f,453,f,$974.04,its donate from user with id = 453,370
454,f,454,f,"$9,822.02",its donate from user with id = 454,189
455,f,455,f,$765.42,its donate from user with id = 455,211
456,f,456,f,"$3,869.96",its donate from user with id = 456,805
457,f,457,f,"$7,302.05",its donate from user with id = 457,372
458,f,458,f,"$4,049.51",its donate from user with id = 458,524
459,f,459,f,"$7,863.45",its donate from user with id = 459,532
460,f,460,f,"$7,433.99",its donate from user with id = 460,786
461,f,461,f,"$7,899.68",its donate from user with id = 461,502
462,f,462,f,"$1,742.46",its donate from user with id = 462,673
463,f,463,f,"$7,720.36",its donate from user with id = 463,429
464,f,464,f,"$6,122.73",its donate from user with id = 464,467
465,f,465,f,"$5,071.66",its donate from user with id = 465,146
466,f,466,f,"$7,713.05",its donate from user with id = 466,379
467,f,467,f,"$5,190.62",its donate from user with id = 467,11
468,f,468,f,"$8,881.40",its donate from user with id = 468,178
469,f,469,f,"$8,120.00",its donate from user with id = 469,980
470,f,470,f,"$3,871.47",its donate from user with id = 470,510
471,f,471,f,$721.17,its donate from user with id = 471,990
472,f,472,f,"$7,694.37",its donate from user with id = 472,137
473,f,473,f,"$8,967.42",its donate from user with id = 473,440
474,f,474,f,"$5,692.45",its donate from user with id = 474,581
475,f,475,f,"$7,985.89",its donate from user with id = 475,407
476,f,476,f,"$9,411.04",its donate from user with id = 476,942
477,f,477,f,"$4,549.01",its donate from user with id = 477,376
478,f,478,f,"$3,522.10",its donate from user with id = 478,513
479,f,479,f,"$7,315.29",its donate from user with id = 479,688
480,f,480,f,"$5,027.00",its donate from user with id = 480,191
481,f,481,f,"$2,112.83",its donate from user with id = 481,85
482,f,482,f,"$4,981.04",its donate from user with id = 482,68
483,f,483,f,"$7,867.31",its donate from user with id = 483,368
484,f,484,f,"$3,127.70",its donate from user with id = 484,841
485,f,485,f,"$5,733.70",its donate from user with id = 485,920
